ticket_id,text,true_sentiment,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
TKT-0106,Login page keeps redirecting me to an error 403 page.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0107,PayPal checkout fails at the confirmation step with a timeout error.,negative,0.379,0.621,0.0,-0.6705,negative
TKT-0108,My profile picture is not updating even after multiple uploads.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0109,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0110,The app crashes every time I try to upload a file larger than 10 MB.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0111,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0112,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0113,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0114,The app crashes every time I try to upload a file larger than 10 MB.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0115,"Session keeps expiring after only 5 minutes, forcing constant re-login.",negative,0.0,1.0,0.0,0.0,neutral
TKT-0116,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0117,Notifications are duplicated; I receive the same alert three times.,negative,0.0,0.804,0.196,0.296,positive
TKT-0118,How do I transfer ownership of my workspace to a colleague?,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0119,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0120,Login page keeps redirecting me to an error 403 page.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0121,I cannot change my display name – the save button does nothing.,neutral,0.0,0.775,0.225,0.4939,positive
TKT-0122,Can you implement a calendar view for upcoming deadlines?,positive,0.0,1.0,0.0,0.0,neutral
TKT-0123,Please add support for bulk-deleting records from the list view.,neutral,0.0,0.615,0.385,0.6124,positive
TKT-0124,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0125,We need an API endpoint for programmatic data ingestion.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0126,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0127,I cannot change my display name – the save button does nothing.,neutral,0.0,0.775,0.225,0.4939,positive
TKT-0128,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0129,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0130,It would be great if we could export reports directly to PDF.,positive,0.0,0.728,0.272,0.6249,positive
TKT-0131,Can you implement a calendar view for upcoming deadlines?,positive,0.0,1.0,0.0,0.0,neutral
TKT-0132,VAT is not applied correctly for EU customers in the billing portal.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0133,Would love a keyboard shortcut to quickly create a new ticket.,positive,0.0,0.588,0.412,0.743,positive
TKT-0134,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0135,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0136,Two-factor authentication code is not working on my phone.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0137,I cannot log in to my account. The password reset email never arrived.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0138,The dashboard chart is blank – no data is shown despite records existing.,neutral,0.155,0.845,0.0,-0.296,negative
TKT-0139,How do I transfer ownership of my workspace to a colleague?,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0140,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0141,Would love a keyboard shortcut to quickly create a new ticket.,positive,0.0,0.588,0.412,0.743,positive
TKT-0142,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0143,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0144,It would be great if we could export reports directly to PDF.,positive,0.0,0.728,0.272,0.6249,positive
TKT-0145,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0146,Please add support for bulk-deleting records from the list view.,neutral,0.0,0.615,0.385,0.6124,positive
TKT-0147,My profile picture is not updating even after multiple uploads.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0148,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0149,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0150,I need to update the email address associated with my account.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0151,I cannot change my display name – the save button does nothing.,neutral,0.0,0.775,0.225,0.4939,positive
TKT-0152,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0153,Can you implement a calendar view for upcoming deadlines?,positive,0.0,1.0,0.0,0.0,neutral
TKT-0154,Please add support for bulk-deleting records from the list view.,neutral,0.0,0.615,0.385,0.6124,positive
TKT-0155,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0156,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0157,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0158,Dark mode toggle reverts to light mode after every page refresh.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0159,Notifications are duplicated; I receive the same alert three times.,negative,0.0,0.804,0.196,0.296,positive
TKT-0160,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0161,VAT is not applied correctly for EU customers in the billing portal.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0162,The dashboard chart is blank – no data is shown despite records existing.,neutral,0.155,0.845,0.0,-0.296,negative
TKT-0163,Login page keeps redirecting me to an error 403 page.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0164,Invoice from last month is missing from my billing history.,neutral,0.196,0.804,0.0,-0.296,negative
TKT-0165,PayPal checkout fails at the confirmation step with a timeout error.,negative,0.379,0.621,0.0,-0.6705,negative
TKT-0166,Error 500 is displayed whenever I submit the checkout form.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0167,Notifications are duplicated; I receive the same alert three times.,negative,0.0,0.804,0.196,0.296,positive
TKT-0168,A mobile app for iOS would significantly improve our workflow.,positive,0.0,0.756,0.244,0.4404,positive
TKT-0169,Can you implement a calendar view for upcoming deadlines?,positive,0.0,1.0,0.0,0.0,neutral
TKT-0170,Please help me delete my account and all personal data under GDPR.,neutral,0.0,0.667,0.333,0.6124,positive
TKT-0171,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0172,My account is locked after multiple failed login attempts.,neutral,0.292,0.708,0.0,-0.5106,negative
TKT-0173,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0174,Forgot my password and the reset link expired before I could use it.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0175,Please allow customisable notification frequency per user.,positive,0.0,0.543,0.457,0.4939,positive
TKT-0176,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0177,Login page keeps redirecting me to an error 403 page.,negative,0.231,0.769,0.0,-0.4019,negative
TKT-0178,The dashboard chart is blank – no data is shown despite records existing.,neutral,0.155,0.845,0.0,-0.296,negative
TKT-0179,My credit card was charged twice for the same subscription renewal.,negative,0.134,0.672,0.194,0.2023,positive
TKT-0180,My profile picture is not updating even after multiple uploads.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0181,The dashboard chart is blank – no data is shown despite records existing.,neutral,0.155,0.845,0.0,-0.296,negative
TKT-0182,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0183,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0184,Single sign-on with Google stopped working this morning.,negative,0.213,0.787,0.0,-0.2263,negative
TKT-0185,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0186,PayPal checkout fails at the confirmation step with a timeout error.,negative,0.379,0.621,0.0,-0.6705,negative
TKT-0187,Would love a keyboard shortcut to quickly create a new ticket.,positive,0.0,0.588,0.412,0.743,positive
TKT-0188,Notifications are duplicated; I receive the same alert three times.,negative,0.0,0.804,0.196,0.296,positive
TKT-0189,The promo code I applied is not reflected on the final invoice.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0190,I cannot change my display name – the save button does nothing.,neutral,0.0,0.775,0.225,0.4939,positive
TKT-0191,Need a refund for the accidental purchase made last week.,neutral,0.126,0.874,0.0,-0.0772,negative
TKT-0192,Can you implement a calendar view for upcoming deadlines?,positive,0.0,1.0,0.0,0.0,neutral
TKT-0193,VAT is not applied correctly for EU customers in the billing portal.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0194,My profile picture is not updating even after multiple uploads.,neutral,0.0,1.0,0.0,0.0,neutral
TKT-0195,I cancelled my subscription but was still billed this month.,negative,0.143,0.857,0.0,-0.128,negative
TKT-0196,Sorting the table by date column causes the page to freeze.,negative,0.0,0.893,0.107,0.0516,positive
TKT-0197,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
TKT-0198,Would love a keyboard shortcut to quickly create a new ticket.,positive,0.0,0.588,0.412,0.743,positive
TKT-0199,My account was deactivated without any prior notification.,negative,0.0,1.0,0.0,0.0,neutral
TKT-0200,The export to CSV button downloads an empty file.,neutral,0.184,0.816,0.0,-0.2023,negative
