ticket_id,text,true_issue_type,rule_issue_type,combined_label
TKT-0115,"Session keeps expiring after only 5 minutes, forcing constant re-login.",Account,Account,neutral_Account
TKT-0116,Forgot my password and the reset link expired before I could use it.,Account,Account,neutral_Account
TKT-0117,Notifications are duplicated; I receive the same alert three times.,Bug,Bug,positive_Bug
TKT-0118,How do I transfer ownership of my workspace to a colleague?,Account,Account,neutral_Account
TKT-0119,I need to update the email address associated with my account.,Account,Account,neutral_Account
TKT-0120,Login page keeps redirecting me to an error 403 page.,Account,Bug,negative_Bug
TKT-0121,I cannot change my display name – the save button does nothing.,Account,Bug,positive_Bug
TKT-0122,Can you implement a calendar view for upcoming deadlines?,Feature,Feature,neutral_Feature
TKT-0123,Please add support for bulk-deleting records from the list view.,Feature,Feature,positive_Feature
TKT-0124,Invoice from last month is missing from my billing history.,Bug,Unknown,negative_Unknown
TKT-0125,We need an API endpoint for programmatic data ingestion.,Feature,Feature,neutral_Feature
TKT-0126,I cannot log in to my account. The password reset email never arrived.,Account,Account,neutral_Account
TKT-0127,I cannot change my display name – the save button does nothing.,Account,Bug,positive_Bug
TKT-0128,Forgot my password and the reset link expired before I could use it.,Account,Account,neutral_Account
TKT-0129,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0130,It would be great if we could export reports directly to PDF.,Feature,Feature,positive_Feature
TKT-0131,Can you implement a calendar view for upcoming deadlines?,Feature,Feature,neutral_Feature
TKT-0132,VAT is not applied correctly for EU customers in the billing portal.,Bug,Unknown,neutral_Unknown
TKT-0133,Would love a keyboard shortcut to quickly create a new ticket.,Feature,Feature,positive_Feature
TKT-0134,I need to update the email address associated with my account.,Account,Account,neutral_Account
TKT-0135,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0136,Two-factor authentication code is not working on my phone.,Account,Bug,neutral_Bug
TKT-0137,I cannot log in to my account. The password reset email never arrived.,Account,Account,neutral_Account
TKT-0138,The dashboard chart is blank – no data is shown despite records existing.,Bug,Bug,negative_Bug
TKT-0139,How do I transfer ownership of my workspace to a colleague?,Account,Account,neutral_Account
TKT-0140,The export to CSV button downloads an empty file.,Bug,Bug,negative_Bug
TKT-0141,Would love a keyboard shortcut to quickly create a new ticket.,Feature,Feature,positive_Feature
TKT-0142,A mobile app for iOS would significantly improve our workflow.,Feature,Feature,positive_Feature
TKT-0143,Single sign-on with Google stopped working this morning.,Account,Account,negative_Account
TKT-0144,It would be great if we could export reports directly to PDF.,Feature,Feature,positive_Feature
TKT-0145,A mobile app for iOS would significantly improve our workflow.,Feature,Feature,positive_Feature
TKT-0146,Please add support for bulk-deleting records from the list view.,Feature,Feature,positive_Feature
TKT-0147,My profile picture is not updating even after multiple uploads.,Account,Account,neutral_Account
TKT-0148,I need to update the email address associated with my account.,Account,Account,neutral_Account
TKT-0149,Single sign-on with Google stopped working this morning.,Account,Account,negative_Account
TKT-0150,I need to update the email address associated with my account.,Account,Account,neutral_Account
TKT-0151,I cannot change my display name – the save button does nothing.,Account,Bug,positive_Bug
TKT-0152,Invoice from last month is missing from my billing history.,Bug,Unknown,negative_Unknown
TKT-0153,Can you implement a calendar view for upcoming deadlines?,Feature,Feature,neutral_Feature
TKT-0154,Please add support for bulk-deleting records from the list view.,Feature,Feature,positive_Feature
TKT-0155,The export to CSV button downloads an empty file.,Bug,Bug,negative_Bug
TKT-0156,A mobile app for iOS would significantly improve our workflow.,Feature,Feature,positive_Feature
TKT-0157,Need a refund for the accidental purchase made last week.,Bug,Unknown,negative_Unknown
TKT-0158,Dark mode toggle reverts to light mode after every page refresh.,Bug,Unknown,neutral_Unknown
TKT-0159,Notifications are duplicated; I receive the same alert three times.,Bug,Bug,positive_Bug
TKT-0160,The export to CSV button downloads an empty file.,Bug,Bug,negative_Bug
TKT-0161,VAT is not applied correctly for EU customers in the billing portal.,Bug,Unknown,neutral_Unknown
TKT-0162,The dashboard chart is blank – no data is shown despite records existing.,Bug,Bug,negative_Bug
TKT-0163,Login page keeps redirecting me to an error 403 page.,Account,Bug,negative_Bug
TKT-0164,Invoice from last month is missing from my billing history.,Bug,Unknown,negative_Unknown
TKT-0165,PayPal checkout fails at the confirmation step with a timeout error.,Bug,Bug,negative_Bug
TKT-0166,Error 500 is displayed whenever I submit the checkout form.,Bug,Bug,negative_Bug
TKT-0167,Notifications are duplicated; I receive the same alert three times.,Bug,Bug,positive_Bug
TKT-0168,A mobile app for iOS would significantly improve our workflow.,Feature,Feature,positive_Feature
TKT-0169,Can you implement a calendar view for upcoming deadlines?,Feature,Feature,neutral_Feature
TKT-0170,Please help me delete my account and all personal data under GDPR.,Account,Account,positive_Account
TKT-0171,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0172,My account is locked after multiple failed login attempts.,Account,Account,negative_Account
TKT-0173,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0174,Forgot my password and the reset link expired before I could use it.,Account,Account,neutral_Account
TKT-0175,Please allow customisable notification frequency per user.,Feature,Feature,positive_Feature
TKT-0176,Need a refund for the accidental purchase made last week.,Bug,Unknown,negative_Unknown
TKT-0177,Login page keeps redirecting me to an error 403 page.,Account,Bug,negative_Bug
TKT-0178,The dashboard chart is blank – no data is shown despite records existing.,Bug,Bug,negative_Bug
TKT-0179,My credit card was charged twice for the same subscription renewal.,Bug,Unknown,positive_Unknown
TKT-0180,My profile picture is not updating even after multiple uploads.,Account,Account,neutral_Account
TKT-0181,The dashboard chart is blank – no data is shown despite records existing.,Bug,Bug,negative_Bug
TKT-0182,Single sign-on with Google stopped working this morning.,Account,Account,negative_Account
TKT-0183,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0184,Single sign-on with Google stopped working this morning.,Account,Account,negative_Account
TKT-0185,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0186,PayPal checkout fails at the confirmation step with a timeout error.,Bug,Bug,negative_Bug
TKT-0187,Would love a keyboard shortcut to quickly create a new ticket.,Feature,Feature,positive_Feature
TKT-0188,Notifications are duplicated; I receive the same alert three times.,Bug,Bug,positive_Bug
TKT-0189,The promo code I applied is not reflected on the final invoice.,Bug,Unknown,neutral_Unknown
TKT-0190,I cannot change my display name – the save button does nothing.,Account,Bug,positive_Bug
TKT-0191,Need a refund for the accidental purchase made last week.,Bug,Unknown,negative_Unknown
TKT-0192,Can you implement a calendar view for upcoming deadlines?,Feature,Feature,neutral_Feature
TKT-0193,VAT is not applied correctly for EU customers in the billing portal.,Bug,Unknown,neutral_Unknown
TKT-0194,My profile picture is not updating even after multiple uploads.,Account,Account,neutral_Account
TKT-0195,I cancelled my subscription but was still billed this month.,Bug,Unknown,negative_Unknown
TKT-0196,Sorting the table by date column causes the page to freeze.,Bug,Bug,positive_Bug
TKT-0197,The export to CSV button downloads an empty file.,Bug,Bug,negative_Bug
TKT-0198,Would love a keyboard shortcut to quickly create a new ticket.,Feature,Feature,positive_Feature
TKT-0199,My account was deactivated without any prior notification.,Account,Account,neutral_Account
TKT-0200,The export to CSV button downloads an empty file.,Bug,Bug,negative_Bug
